text,label
ঘুমানোর সময় ডান পাশে ফিরে ঘুমাবেন বা দিকে নয় হৃদয়ে কেউ থাকলে চাপা পড়ে মারাও যেতে পারে। ,Neutral
ধর্ষণের পর পাওয়া গেল রক্তে রঞ্জিত সেই চাদও ও কুশন। ,Personal
"একদিন বউকে এভাবে মারবো, কাজ না করলে। ",Personal
হাসি বিক্রেতার হাসির হাহাকারে। একটি হাসি কিনে তার মুখে হাসি ফুটিয়ে তুলুন। ,Neutral
"রণক্ষেত্র ভোলা, পুলিশ জনতা সংঘর্ষ নিহত ৪,শতাধিক আহত। ",Personal
"বঙ্গবন্ধুর নৌকাকে নূহ আঃ এর নৌকার সাথে তুলনা, ধর্মীয় গোরামী ছাড়া আর কিছুই নয়। ",Geopolitical
"চাচাতো ভাইয়ের চাকরী হয়ে গেছে, এই খবর শোনার পর চাচাতো ভাই আর আমি। ",Neutral
বেডার দুধ আছে কিন্তু বেডির দুধ নাই । এ আমি কি দেখলাম? ,Personal
"আমাদের দেশে এমন কিছু নার্স আছে যারা ঘুমন্ত রোগীকে ঘুম থেকে তুলে বলে , নিন ঘুমের ওষুধটা খেয়ে নিন। ",Neutral
"প্রেম নয়, ভালোবাসা খুজছি। তাইতো এখনও সিঙ্গেল রয়েছি। ",Neutral
স্কুলে এসে ছাত্রদের চুল মেপে বেড়ানো শিক্ষক আর অন্যান্য শিক্ষক। ,Neutral
যখন কেউ বলে ভালোবাসার আর এক নাম মামাতো বোন। ,Neutral
এই জুতার মালিকটা কে হতে পারে ? ,Neutral
ধর্ষণের হুমকি দিয়ে ছিনতাই। ঢাবি ও জবি’র দুই হিন্দু ছাত্র গ্রেফতার। ,Personal
"ছেলের পর ধরা খেল বাবা, কঠিন ধোলাই দিয়ে বহিস্কার আওয়ামীলীগ থেকে। ",Personal
হিন্দু জিন মুসলমান হতে চায় কিন্তু নাস্তিক জীনের বাধা। ,Personal
"আবাসিক হোটেলের সামনে ঘুরঘুর করা নিব্বাকে মাগীর দালাল জিজ্ঞেস করছে, তোর কি মাগী লাগবো? ",Personal
"কাচা শরীরে নখের দাগ, আদর না অত্যাচার? ",Personal
"সকাল বেলা টুনটুনি (দোন) পাখির অবস্থা, আর সারাদিন টুনটুনির অবস্থা। ",Personal
"হ জানি, তোর বাপরে শিকাইসনা বেরা।",Personal
"যদি আমাকে ছাড়া থাকিস ভালো, আসবো না আর কখনো জ¦ালাতে। ",Neutral
"সরকারি চাকরি ছাড়া মেয়ে বিয়ে দিবোনা বলার পর, সরকারি চাকরি নিয়ে তার মেয়েকে বিয়ে করার পরের দিন চাকরি ছেড়ে দিয়ে। ",Neutral
"আব্বু যখন মেয়েকে সংবাদ পড়ার কথা বলল, পরের দিন মেয়ের অবস্থা। ",Neutral
সেই মেয়েকে দেখার পর আমি। ,Neutral
"আমার ডিএস এল আর আছে, ডেটিং এ যাবা? ",Neutral
"সৃষ্টিকর্তা নাকি সব ছেলের জন্য একটি করে মেয়ে তৈরি করেছেন, আমারটা মনে হয় আত্মহত্যা করেছে,  শালা! খুঁজেই পাইনা। ",Neutral
"খাটো পোষাক পরলেই কেউ চরিত্রহীন হয়ে যায় না, আর ভদ্র পোষাক পরলেই কেউ সতি সাবিত্রী হয়ে যায় না। ",Neutral
আমেরিকা যাওয়ার পথে রায়হানের স্বপ্ন তছনছ করে দিলো যমদূত আকবর। ,Personal
"নব্য নাস্তিকের আগমন, কোরান হাদিস জানলেই আলেম বলা যাবে না। ",Personal
বিটিএস লাভারদের আপনি কি বলে ডাকেন? ,Neutral
এইটা একটু দোকানে ফেরত দিয়ে টাকা নিয়ে আয়। ,Neutral
"হ্যালো সোনা, তোমার দেওয়া গিফ্টটা খুব সুন্দর এইজন্যই তোমাকে আমি এত ভালোবাসি। আজ্ঞে, আমি সোনার বাবা বলছি, এতক্ষনে বুঝলাম আমার টাকা কে চুরি করেছে। ",Neutral
কারা আবার রটিয়ে বেড়াচ্ছে ? থ্যানোস নাকি আগের জন্মে হরপ্পা সভ্যতার পুরোহিত ছিল। ,Neutral
ছোট বোনের বারবি ডলের জামা খুলার পর ১০ বছর বয়সি আমি। ,Neutral
ওরা আমাকে ভাল হতে দিল না। ,Personal
"কবরে হিসাব শুরু যার কারণে বড় আলেমদের ফাঁসি হলো। কি হিসাব দেবেন কবরে , অ্যাটর্নি জেনারেল মাহবুবে আলম। ",Religious
৩২ বছরের বিসিএস ক্যাডার যখন নতুন কলেজে ভর্তি হওয়া মেয়েকে করতে যায় তখনকার অবস্থা। ,Personal
"জোর করে সব কিছুই হয়, কিন্তু জোর করে কাউকে হাসানো যায় না। ",Personal
আমার সব বান্ধবীদের  বোনের চোখে দেখবা। ,Neutral
 তুমি এত কম পড়াশোন করো কেন? কারন পড়তে বসলে আমার মাথাব্যাথা করে। ,Neutral
যখন কোন টিকটকার ছেলে বন্ধু বলে আমারে বিশ^ পুরুষ দিবস এর শুভেচ্ছা জানাবিনা? ,Neutral
ফেসবুক আইডি হেকিং করে গুজব ছড়ানো হয়েছে-শেখ হাসিনা। ,Personal
এক ফোঁটা পানির জন্য কাদছে সিরিয়ার মুসলিম শিশুরা। ,Religious
"এহেন নিষ্ঠুরতা শুধুমাত্র ছাত্রলীগের পক্ষেই সম্ভব, কোন সুস্থ মানুষের পক্ষে সম্ভব নয়। ",Geopolitical
কিরে তোর মাইয়ারে ইংরেজি শিখাছ না কেন? কালকে ওরে ইংরেজিতে প্রশ্ন করছি ও না বুইঝা দৌড় দিচ্ছে। মার হালার পুতেরে। ,Personal
শীতের সকালে যখন কেউ আপনার রুমের জানালা খুলে চলে যায়। ,Neutral
সালা মারবো এখানে লাশ পরবে শ্মশানে।,Personal
২/৩ মাস পর বন্ধুদের সাথে একটু আড্ডা দিতে যাওয়ার পর যখন কোনো কারন ছাড়াই বলে ট্রিট দে। ,Neutral
পৃথিবীল প্রথম কোয়েল যে ডিম না দিযে ডাইরেক্ট বাচ্চা দিয়েছে। ,Neutral
মিমের সাথে নাকি জনৈক মেয়ের সাথে প্রেম করব এইটা ভেবে ডিপ্রেশনে পরা আামি। ,Neutral
কুমিল্লার দৌলতপুরে ১০ টি ঘর পুড়লো গ্যাস সিলিন্ডারের আগুনে। ,Personal
এই খানকি মাগি নাকি নিজ ইচ্ছায় মুসলমান থেকে হিন্দু হয়েছে।,Personal
"নেও ব্রো, আজকে তো নভেম্বরের শেষ দিন। ",Neutral
রাতের আঁধারে ভোটকেন্দ্রে মানুষের মল। ভোটের বদলে হাগু করে দিল জণগন। ,Geopolitical
"দিহানের দারোয়ান দিলো আসল তথ্য, দিহানের ফাসির মঞ্চ রেডি। ",Personal
" বাংলা সিনোমর বিখ্যাত ডায়লগ, তোর বোদহয় জানা নেই, সুন্দরবনে শুধু বাঘই থাকে না, সিংহও থাকে। ",Neutral
যখন কেউ বলে সারাদিন ফেসবুকে সবসময় কি করিস?,Neutral
"বিটিএস নিয়ে মিম বানানোর পর, এবার একটু সাবধানে থাকতে হবে। ",Personal
শাশুড়ী যখন বলে বউমা তোমার হাতের পরাটা খাব। ,Neutral
হাসিমুখে পোজ দিয়ে বিএসএফের হাতে নিহত দুই অভাগা বাংলাদেশির লাশ গ্রহণ করছে আমাদের সীমান্ত রক্ষী বাহিনীর বীর অফিসার।,Geopolitical
ও মা! এ যে দেখি পুরাই নায়িকা গো। ,Neutral
"তেমন কিছু না , স্যার ছাগল বলায় নিজের আর ছাগল এর মাঝে মিল খুজতেছি। ",Neutral
"আমি চাই আমার বিয়েতে আমার বন্ধুরা এরকম কিছু সুন্দর ছবি ক্যামেরাবন্দী করুক, কিন্তু শালারাতো মাল খেয়ে স্টেজের পিছনে পরে থাকবে। ",Personal
রাতে শুয়ে পড়ার পর যখন ছোট ক্রিমি গোয়ার কাছে এসে কুট কুট করে কামড় মারে। ,Personal
"যে দেশে খুন, গুম, রাহাজানি ও ধর্ষণ করার পরেও আসামি জামিন পেয়ে যায়, সে দেশে তো অপরাধ বাড়বেই। ",Political
চেহারার সাথে ছোলার তুলনা করা হয়েছে।   পানিতে ভিজানোর আগে ও পানিতে ভিজানোর পরে। ,Neutral
বুলছিস কিরে মামুর বেটা! এই কথাও কি মানুষ বলেরে শালা!,Personal
শেখ হাসিনা আছে বলেই করোনা প্রতিরোধ করতে পারছি- আবাল নাসিম। ,Political
বিএনপি জামাতের আগুন সন্ত্রাস। রাজধানীতে বাসে আগুন দেয়ার ঘাঁনয় বিএনপি জামাতের ১০ জন আটক।,Geopolitical
যখন বাড়ির বাইরে গেম খেলি। তখন আমার অবস্থা। ,Neutral
স্ত্রীর বাবা-মায়ের সাথে ভালো ব্যবহার করা ফরজ। ,Neutral
জীবনে কথা কওয়ার আগে হিসাব কনরা কথা কবি কারে কি কইতাছোস। ,Personal
এডমিন কই?  একট গার্লফ্রেন্ড দাও। ,Neutral
"দেখ খানকিরপোলা তুই পারস নাই, ফাহিম ঠিকই পারছে বড় করতে। ",Personal
"দোস্ত স্বার্থপর এর ইংরেজি জানিস? জানি, কিন্তু তোকে বলবো না, ছিঃ দোস্ত তুই এত সেলফিস আগে জানতাম না। ",Neutral
"জেমস এর নগর বাউল, এটি একটি গানের সিডি। ",Neutral
জবা মারা গেল আর আমরা হারালাম ৫ ধরনের পেশাজীবী ব্যক্তিকে। ,Neutral
"ডাঃ জাকির নায়েক একটা ভন্ড। এই হলো ইহুদিদের দালাল, তার সব কথা বিশ^াস করবেন না। ",Religious
"মুসলমানদের হারানো ইতিহাস,  কোন হিং¯্রতায় পরিপূর্ন নয়। ",Religious
"পায়খানায় বসে চ্যাটিং করার সময় যখন কেউ বলে, কি করো? ",Neutral
"বউমা কি পারবে দোন টা দাড় করাতে, জানি সব ধ্বংস হয়ে যাবে, তাও একবার শেষ চেষ্টা করবো। ",Personal
এইভাবে নিরীহ ছেলেগুলোকে ফাঁসানো হচ্ছে। ,Neutral
"শান্তিতে ইউটিউব দেখার সময়, তর কি ক্ষুধা লাগছে? ",Neutral
"রং তো মানুষই বদলায়, গিরগিটি শুধু শিখিয়েছিল মাত্র। ",Neutral
বাংলাদেশের মুক্তিযুদ্ধে হিন্দুদের অবদান কতটুকু? স্বাধীন বাংলাদেশ হোক সেটা হিন্দুরা চায়নি বরং বাংলাদেশ ভারতের অংশ হবে এট্ইা ছিলো হিন্দু নেতাদের ইচ্ছা। ,Geopolitical
তুমি না থাকলে সকালটা এতো মিষ্টি হতো না। ,Neutral
তোমাদের এই পরাজয়ে দাদার চেয়ে আমি বেশি খুলি হয়েছি। ভারতের সঙ্গে সব সময় এভাবেই খেলবে না হয় দাদা অসন্তুষ্ট হবে। ,Geopolitical
"তুই বাটপার, তুই চিটার। তুই আবাল , তুই বলদ। তুই তিতলি, ধুর শালা এত বড় গালি কেউ দেয়?",Personal
শান্তিতে মুভি দেখার সময় কলিকাতা হারবাল এসে বলছে আপনি কি অসুস্থ ? আপনার কি এক ফাইল লাগবে? ,Neutral
"জুমার দিনে ঝগড়া করছে মাস্ক এবং টুপি নিয়ে, আরেক জন এসে তাদের জিজ্ঞাসা করে দুইজনেরই দাড়ি কোথায়? ",Religious
"বর্তমান সময়ের বাচ্চাদের ছবি, আর আমরা যখন বাচ্চা ছিলাম তখনকার ছবি। ",Neutral
প্রশিক্ষণপ্রাপ্ত মেকানিক মাসুদ মাদারচোদ। ,Personal
"আজ পুলিশ পিটিয়ে আপনাকে ঘরে ঢুকাতে পারছে না, কিন্তু কাল করোনা হলে পরিবারের কেউ আপনাকে ঘরে ঢুকতে দেবে না। ",Personal
"কোনো নারীকে দেখলে ধর্ষণ করতে মন চায়? তবে এক্ষুনি যোগাযোগ করুন নিকটস্থ কসাইয়ের সঙ্গ, কেটে ফেলুন আপনার অবাধ্য অঙ্গকে। ",Neutral
"বোনটি শুধু জানতে চেয়েছিলো, নোয়াখালীকে বিভাগ করা হবে কবে? ",Neutral
যখন বৃষ্টি নামে। তখন তাদের অবস্থা। ,Neutral
"মৃত্যুর পরে কোনো জীবন নেই। এগুলা ভুয়া কথা বলা নাস্তিক আবার বলে, ওপারে ভালো থাকবেন স্যার। ",Neutral
"এই মেয়েটোর নাকের ডগায় লাল বিন্দুটির দিকে ১৫ সেকেন্ড তাকিয়ে সাদা জায়গায় তাকিয়ে দেখো, ম্যাজিক দেখতে পাবে। ",Neutral
টেনশন করিসনা মা। ঠান্ডা মাথায় পরীক্ষা দিবি। আমি বাহিরেই আছি। ,Neutral
নারী নগ্ন হলে বেশ্য আর পুরুষ নগ্ন হলে সাধু। ,Neutral
